policy,repository,metric,label,precision,recall,f1,support,true_label,predicted_label,value
primary,facebook/react,confusion,,,,,,feature,bug,2
primary,facebook/react,confusion,,,,,,feature,feature,86
primary,facebook/react,confusion,,,,,,feature,question,12
primary,facebook/react,confusion,,,,,,question,bug,6
primary,facebook/react,confusion,,,,,,question,feature,30
primary,facebook/react,confusion,,,,,,question,question,64
primary,microsoft/vscode,class,bug,0.7840909090909091,0.69,0.7340425531914894,100,,,
primary,microsoft/vscode,class,feature,0.6727272727272727,0.74,0.7047619047619048,100,,,
primary,microsoft/vscode,class,question,0.7352941176470589,0.75,0.7425742574257426,100,,,
primary,microsoft/vscode,macro,,0.730704099821747,0.7266666666666666,0.7271262384597122,300,,,
primary,microsoft/vscode,micro,,0.7266666666666667,0.7266666666666667,0.7266666666666667,300,,,
primary,microsoft/vscode,confusion,,,,,,bug,bug,69
primary,microsoft/vscode,confusion,,,,,,bug,feature,13
primary,microsoft/vscode,confusion,,,,,,bug,question,18
primary,microsoft/vscode,confusion,,,,,,feature,bug,17
primary,microsoft/vscode,confusion,,,,,,feature,feature,74
primary,microsoft/vscode,confusion,,,,,,feature,question,9
primary,microsoft/vscode,confusion,,,,,,question,bug,2
primary,microsoft/vscode,confusion,,,,,,question,feature,23
primary,microsoft/vscode,confusion,,,,,,question,question,75
primary,opencv/opencv,class,bug,0.7551020408163265,0.74,0.7474747474747475,100,,,
primary,opencv/opencv,class,feature,0.81,0.81,0.81,100,,,
primary,opencv/opencv,class,question,0.7843137254901961,0.8,0.7920792079207921,100,,,
primary,opencv/opencv,macro,,0.7831385887688409,0.7833333333333333,0.7831846517985133,300,,,
primary,opencv/opencv,micro,,0.7833333333333333,0.7833333333333333,0.7833333333333333,300,,,
primary,opencv/opencv,confusion,,,,,,bug,bug,74
primary,opencv/opencv,confusion,,,,,,bug,feature,16
primary,opencv/opencv,confusion,,,,,,bug,question,10
primary,opencv/opencv,confusion,,,,,,feature,bug,7
primary,opencv/opencv,confusion,,,,,,feature,feature,81
primary,opencv/opencv,confusion,,,,,,feature,question,12
primary,opencv/opencv,confusion,,,,,,question,bug,17
primary,opencv/opencv,confusion,,,,,,question,feature,3
primary,opencv/opencv,confusion,,,,,,question,question,80
primary,tensorflow/tensorflow,class,bug,0.75,0.84,0.7924528301886793,100,,,
primary,tensorflow/tensorflow,class,feature,0.8588235294117647,0.73,0.7891891891891892,100,,,
primary,tensorflow/tensorflow,class,question,0.6699029126213593,0.69,0.6798029556650246,100,,,
primary,tensorflow/tensorflow,macro,,0.7595754806777081,0.7533333333333333,0.7538149916809643,300,,,
primary,tensorflow/tensorflow,micro,,0.7533333333333333,0.7533333333333333,0.7533333333333333,300,,,
primary,tensorflow/tensorflow,confusion,,,,,,bug,bug,84
primary,tensorflow/tensorflow,confusion,,,,,,bug,feature,2
primary,tensorflow/tensorflow,confusion,,,,,,bug,question,14
primary,tensorflow/tensorflow,confusion,,,,,,feature,bug,7
primary,tensorflow/tensorflow,confusion,,,,,,feature,feature,73
primary,tensorflow/tensorflow,confusion,,,,,,feature,question,20
primary,tensorflow/tensorflow,confusion,,,,,,question,bug,21
primary,tensorflow/tensorflow,confusion,,,,,,question,feature,10
primary,tensorflow/tensorflow,confusion,,,,,,question,question,69
primary,__global__,class,bug,0.7960510598770854,0.754,0.7709031357952756,500,,,
primary,__global__,class,feature,0.762040351967011,0.8099999999999999,0.7818170834794029,500,,,
primary,__global__,class,question,0.7201986871699416,0.704,0.710436122674946,500,,,
primary,__global__,macro,,0.7594300330046794,0.756,0.7543854473165416,1500,,,
primary,__global__,micro,,0.756,0.756,0.756,1500,,,
primary,__global__,confusion,,,,,,bug,bug,377
primary,__global__,confusion,,,,,,bug,feature,42
primary,__global__,confusion,,,,,,bug,question,81
primary,__global__,confusion,,,,,,feature,bug,37
primary,__global__,confusion,,,,,,feature,feature,405
primary,__global__,confusion,,,,,,feature,question,58
primary,__global__,confusion,,,,,,question,bug,59
primary,__global__,confusion,,,,,,question,feature,89
primary,__global__,confusion,,,,,,question,question,352
